id_forum,article_id,depth,title,author,date,date_raw,text_plain
194,321,0,Par le reflet du temps,antonin caba,2013-01-02T05:55:00,"2 janvier 2013 05:55, par antonin caba","Bonsoir Robin, Ce soir,j’ai googelisé mon nom et je suis tombé sur ton site... J’avais oublié ce moment passé ensemble... Il y a plus de deux ans... Quelle surprise !! De voir tes mots (vieux et pourtant,...) raisonner en moi... j’y retrouve une présence, une quintessence familière, une partie assez importante de ma personne... encore aujourd’hui... Je me souviens, et le plaisir et la crainte et l’absurde mêlé à une amourette de paris... quand tu nous as vu... ou surpris... je ne sais pas. Quoi qu’il en soi, Merci... Beaucoup.. Antonin PS : Pour te renvoyer la balle et l’ascenseur... Saisir le Monde chaud et froid La passion de la chair qui me bat Une enclume surprise attachée au hasard Parce que je comprendre, Pénétrer ces inconnus qui rôdent ""l’autour"" De ma Maison Secrète au bord de l’effacement. repondre message"
140,511,0,Inconsidérable je ne sait pas,,2011-06-13T14:10:00,13 juin 2011 14:10,Vos textes sont toujours aussi bien tournés. J’apprécie de les lires. J’étais passée à mon tour il y a plus d 1 ans maintenant. Cela m’avait fait du bien de parler de mes ressentis. Magali Cortijo Torres. repondre message
167,580,0,Fluides - Partie I - § XXIV,Jeune C,2011-09-08T12:34:00,"8 septembre 2011 12:34, par Jeune C","Ce qui est très gratifiant dans vos textes Ivan Robin c’est qu’on peut reconnaître les lieux, habitant Paris je visualise les endroits dans les moindres détails. J’imagine que d’autres peuvent s’identifier avec un autre système s’ils habitent une autre ville. Merci d’être un écrivanalyste. Cela doit prendre du temps de sillonner la ville et ensuite de la décrire. repondre message"
172,591,0,Fluides - Partie I - Chapitre XXXV,Jeune C,2012-08-03T11:01:00,"3 août 2012 11:01, par Jeune C",Elle rejoint Jung et Paul Auster qui a appris par un morceau de journal que sa grand-mère avait tué son grand-père à coup de fusil. repondre message
193,600,0,Fluides - Partie II - Chapitre VII,Jeune C,2012-12-28T22:55:00,"28 décembre 2012 22:55, par Jeune C","Où la démonstration de la littérature réaliste, l’écrivain répond en ping-pong à la question de l’étudiant avant que le prof ne lui en ai fait part par des initiales. repondre message"
171,647,0,Pour se blesser avec soin,Mary Moon,2011-11-28T21:10:00,"28 novembre 2011 21:10, par Mary Moon","Chaque fois que quelqu’un croise notre route, il porte un message pour nous. Si, lorsque nous parlons avec celui qui croise notre chemin, nous ne voyons pas le message qui se rapporte à nos questions, cela ne signifie pas qu’il n’y avait pas de message. Seulement que nous ne l’avons pas découvert. Contente d’avoir croisé votre route ... repondre message"
361,647,0,Pour se blesser avec soin,Mary Moon,2018-03-05T00:33:00,"5 mars 2018 00:33, par Mary Moon","Bonsoir, Je reviens ici tant d’années plus tard pour confirmer qu’aujourd’hui et entre temps, j’ai découvert le message et qu’il a changé une grande partie de ma vie... Au hasard de nos routes !! repondre message"
168,650,0,Se prendre dans les bras,Marierobinsell,2011-11-15T12:03:00,"15 novembre 2011 12:03, par Marierobinsell","Bonjour Ivan, Une nouvelle lecture sur ton site et « ma » quintesse revient en douceur dans ma pensée. Cette Pause au Point restera un moment exceptionnel. Merci Ivan pour m’avoir donné cet espace temps hors du commun. Marie. repondre message"
169,651,0,Ne pas mal se faire,Nathpic,2011-11-15T13:38:00,"15 novembre 2011 13:38, par Nathpic","J’aime beaucoup vos articles , bonne continuation ! repondre message"
170,654,0,Ce normal qui n’est pas,Jeune C,2011-11-18T10:54:00,"18 novembre 2011 10:54, par Jeune C",Merci Ivan. repondre message
